parcel_id_str,farmer,district,mandal,crop,acreage,health,risk,confidence,lat,lng,ndvi,evi,ndre
WG-00039,Venkata Ramana,West Godavari,Ganapavaram,Cotton,4.46,55.7,High,81,16.650541,81.549693,0.76,0.64,0.51
WG-00040,Sailaja,West Godavari,Kalla,Paddy,3.69,79.5,Low,90,16.5119,81.456477,0.92,0.85,0.6
WG-00041,Srinivasa Rao,West Godavari,Achanta,Maize,6.69,74.0,Medium,84,16.603839,81.813708,0.92,0.85,0.59
WG-00042,Lakshmi Devi,West Godavari,Akiveedu,Paddy,9.64,72.4,Medium,91,16.61418,81.705226,0.78,0.7,0.61
WG-00043,Venkata Ramana,West Godavari,Attili,Paddy,8.16,72.8,Medium,90,16.662308,81.638181,0.82,0.8,0.53
WG-00044,Sailaja,West Godavari,Bhimavaram,Paddy,5.71,78.5,Low,87,16.475472,81.431231,0.82,0.7,0.57
WG-00045,Ramesh Babu,West Godavari,Elamanchili,Paddy,7.8,66.5,Medium,83,16.527588,81.683687,0.77,0.72,0.55
WG-00046,Padma Priya,West Godavari,Iragavaram,Paddy,10.12,89.6,Low,96,16.680619,81.754323,0.88,0.78,0.59
WG-00047,Kiran Kumar,West Godavari,Mogalthur,Cotton,7.28,57.1,High,85,16.34165,81.59749,0.76,0.7,0.5
WG-00048,Anitha,West Godavari,Narasapuram,Cotton,11.86,69.3,Medium,88,16.395399,81.624982,0.89,0.83,0.54
WG-00049,Satyanarayana,West Godavari,Palacoderu,Chilli,5.29,67.6,Medium,91,16.636861,81.606471,0.86,0.76,0.5
WG-00050,Rajeshwari,West Godavari,Palacole,Paddy,5.43,68.4,Medium,91,16.476796,81.713138,0.8,0.68,0.5
WG-00051,Mohan Rao,West Godavari,Pentapadu,Cotton,3.82,63.9,Medium,88,16.783386,81.564102,0.79,0.71,0.52
WG-00052,Divya,West Godavari,Penugonda,Paddy,6.6,69.7,Medium,87,16.673157,81.782074,0.79,0.69,0.51
WG-00053,Prasad,West Godavari,Penumantra,Paddy,4.3,87.6,Low,97,16.671634,81.628239,0.91,0.85,0.56
WG-00054,Swapna,West Godavari,Poduru,Paddy,5.34,86.6,Low,94,16.541047,81.797118,0.84,0.82,0.65
WG-00055,Naresh,West Godavari,Tadepalligudem,Paddy,9.99,79.5,Low,89,16.789917,81.514731,0.81,0.74,0.53
WG-00056,Bhavani,West Godavari,Tanuku,Cotton,8.87,62.0,Medium,81,16.825839,81.638506,0.84,0.81,0.46
WG-00057,Srinivasa Rao,West Godavari,Undi,Paddy,3.81,71.4,Medium,92,16.655828,81.542193,0.89,0.79,0.61
WG-00058,Lakshmi Devi,West Godavari,Veeravasaram,Cotton,11.45,75.4,Low,91,16.518656,81.589651,0.92,0.81,0.57
WG-00059,Venkata Ramana,West Godavari,Ganapavaram,Cotton,8.98,72.6,Medium,89,16.67865,81.539616,0.84,0.75,0.59
WG-00060,Sailaja,West Godavari,Kalla,Paddy,1.56,66.0,Medium,84,16.527686,81.411137,0.88,0.85,0.59
WG-00061,Srinivasa Rao,West Godavari,Achanta,Maize,7.53,68.0,Medium,84,16.623972,81.809736,0.88,0.83,0.54
WG-00062,Lakshmi Devi,West Godavari,Akiveedu,Paddy,7.35,69.2,Medium,87,16.565082,81.731547,0.75,0.71,0.51
WG-00063,Venkata Ramana,West Godavari,Attili,Paddy,3.24,69.0,Medium,92,16.71865,81.551679,0.76,0.7,0.53
WG-00064,Sailaja,West Godavari,Bhimavaram,Paddy,7.25,83.9,Low,89,16.4544,81.594836,0.86,0.77,0.62
WG-00065,Ramesh Babu,West Godavari,Elamanchili,Cotton,9.53,60.4,Medium,82,16.6652,81.493477,0.72,0.64,0.46
WG-00066,Padma Priya,West Godavari,Iragavaram,Red Gram,9.63,67.0,Medium,83,16.677604,81.724894,0.88,0.81,0.53
WG-00067,Kiran Kumar,West Godavari,Mogalthur,Cotton,5.65,77.8,Low,90,16.416057,81.515769,0.92,0.85,0.58
WG-00068,Anitha,West Godavari,Narasapuram,Red Gram,4.86,74.1,Medium,92,16.36186,81.694141,0.78,0.72,0.62
WG-00069,Satyanarayana,West Godavari,Palacoderu,Paddy,10.82,70.9,Medium,93,16.571798,81.574865,0.91,0.85,0.59
WG-00070,Rajeshwari,West Godavari,Palacole,Maize,11.89,66.2,Medium,81,16.530764,81.748289,0.88,0.76,0.51
WG-00071,Mohan Rao,West Godavari,Pentapadu,Paddy,1.11,69.8,Medium,87,16.733349,81.567861,0.84,0.8,0.56
WG-00072,Divya,West Godavari,Penugonda,Paddy,7.64,77.5,Low,89,16.671715,81.779767,0.86,0.76,0.61
WG-00073,Prasad,West Godavari,Penumantra,Cotton,10.32,56.0,High,80,16.636557,81.61802,0.7,0.64,0.5
WG-00074,Swapna,West Godavari,Poduru,Paddy,1.72,84.5,Low,97,16.533917,81.758575,0.88,0.8,0.58
WG-00075,Naresh,West Godavari,Tadepalligudem,Red Gram,11.84,65.9,Medium,82,16.821001,81.572287,0.83,0.8,0.51
WG-00076,Bhavani,West Godavari,Tanuku,Paddy,4.17,74.3,Medium,94,16.723209,81.691156,0.9,0.85,0.58
WG-00077,Srinivasa Rao,West Godavari,Undi,Paddy,10.21,71.8,Medium,93,16.643007,81.486542,0.84,0.75,0.59
WG-00078,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,10.44,73.1,Medium,88,16.523468,81.605264,0.89,0.84,0.54
WG-00079,Venkata Ramana,West Godavari,Ganapavaram,Paddy,8.97,77.1,Low,89,16.75331,81.565726,0.79,0.76,0.63
WG-00080,Sailaja,West Godavari,Kalla,Paddy,1.59,83.1,Low,93,16.43035,81.413659,0.84,0.78,0.59
WG-00081,Srinivasa Rao,West Godavari,Achanta,Maize,10.06,64.8,Medium,87,16.623443,81.835679,0.83,0.79,0.47
WG-00082,Lakshmi Devi,West Godavari,Akiveedu,Paddy,8.71,81.9,Low,96,16.508053,81.714781,0.92,0.82,0.62
WG-00083,Venkata Ramana,West Godavari,Attili,Maize,8.97,59.1,High,86,16.711407,81.623775,0.71,0.67,0.53
WG-00084,Sailaja,West Godavari,Bhimavaram,Paddy,8.26,75.4,Low,91,16.425702,81.541289,0.92,0.85,0.53
WG-00085,Ramesh Babu,West Godavari,Elamanchili,Paddy,10.02,88.6,Low,97,16.630811,81.589656,0.92,0.81,0.65
WG-00086,Padma Priya,West Godavari,Iragavaram,Cotton,1.09,60.0,Medium,88,16.717098,81.658633,0.83,0.8,0.49
WG-00087,Kiran Kumar,West Godavari,Mogalthur,Paddy,10.27,76.8,Low,94,16.428898,81.565182,0.84,0.81,0.55
WG-00088,Anitha,West Godavari,Narasapuram,Red Gram,6.8,80.0,Low,90,16.323226,81.722818,0.92,0.81,0.59
WG-00089,Satyanarayana,West Godavari,Palacoderu,Cotton,4.26,73.1,Medium,85,16.57447,81.512117,0.91,0.85,0.6
WG-00090,Rajeshwari,West Godavari,Palacole,Paddy,8.3,73.0,Medium,86,16.585139,81.654442,0.89,0.8,0.54
WG-00091,Mohan Rao,West Godavari,Pentapadu,Paddy,9.6,88.8,Low,98,16.817173,81.542486,0.92,0.85,0.6
WG-00092,Divya,West Godavari,Penugonda,Cotton,9.7,77.8,Low,91,16.675676,81.730017,0.83,0.77,0.53
WG-00093,Prasad,West Godavari,Penumantra,Paddy,6.21,69.4,Medium,85,16.654252,81.652443,0.78,0.75,0.6
WG-00094,Swapna,West Godavari,Poduru,Paddy,8.77,87.0,Low,93,16.575878,81.76212,0.88,0.77,0.59
WG-00095,Naresh,West Godavari,Tadepalligudem,Paddy,3.69,74.4,Medium,88,16.840477,81.538536,0.89,0.81,0.54
WG-00096,Bhavani,West Godavari,Tanuku,Maize,2.05,71.5,Medium,88,16.726566,81.684644,0.82,0.73,0.59
WG-00097,Srinivasa Rao,West Godavari,Undi,Paddy,2.75,74.1,Medium,94,16.581429,81.551278,0.88,0.83,0.51
WG-00098,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,3.08,69.6,Medium,85,16.501015,81.643424,0.8,0.76,0.51
WG-00099,Venkata Ramana,West Godavari,Ganapavaram,Paddy,5.24,77.2,Low,90,16.715342,81.567306,0.88,0.82,0.62
WG-00100,Sailaja,West Godavari,Kalla,Cotton,6.68,66.0,Medium,85,16.550438,81.477112,0.76,0.7,0.59
WG-00101,Srinivasa Rao,West Godavari,Achanta,Maize,3.86,74.7,Medium,86,16.62469,81.83633,0.8,0.76,0.58
WG-00102,Lakshmi Devi,West Godavari,Akiveedu,Paddy,5.1,82.1,Low,93,16.628926,81.771652,0.84,0.72,0.6
WG-00103,Venkata Ramana,West Godavari,Attili,Cotton,4.14,56.2,High,78,16.598283,81.641845,0.68,0.65,0.53
WG-00104,Sailaja,West Godavari,Bhimavaram,Maize,3.62,74.6,Medium,89,16.445645,81.563017,0.8,0.71,0.54
WG-00105,Ramesh Babu,West Godavari,Elamanchili,Cotton,0.8,56.0,High,79,16.605089,81.558279,0.7,0.65,0.52
WG-00106,Padma Priya,West Godavari,Iragavaram,Red Gram,1.39,73.0,Medium,90,16.704406,81.618881,0.89,0.78,0.51
WG-00107,Kiran Kumar,West Godavari,Mogalthur,Cotton,8.8,68.3,Medium,89,16.452999,81.5572,0.77,0.67,0.58
WG-00108,Anitha,West Godavari,Narasapuram,Cotton,7.36,66.7,Medium,88,16.362783,81.605595,0.81,0.78,0.48
WG-00109,Satyanarayana,West Godavari,Palacoderu,Paddy,5.74,80.7,Low,93,16.574089,81.527364,0.84,0.78,0.59
WG-00110,Rajeshwari,West Godavari,Palacole,Chilli,6.63,75.1,Low,88,16.510867,81.654993,0.92,0.81,0.59
WG-00111,Mohan Rao,West Godavari,Pentapadu,Paddy,2.38,77.1,Low,86,16.730363,81.607453,0.85,0.8,0.63
WG-00112,Divya,West Godavari,Penugonda,Paddy,1.92,67.0,Medium,82,16.680368,81.842594,0.84,0.73,0.54
WG-00113,Prasad,West Godavari,Penumantra,Cotton,9.61,55.3,High,79,16.63907,81.755817,0.77,0.68,0.54
WG-00114,Swapna,West Godavari,Poduru,Chilli,1.07,80.1,Low,88,16.530308,81.793612,0.84,0.75,0.53
WG-00115,Naresh,West Godavari,Tadepalligudem,Chilli,11.38,61.0,Medium,80,16.946683,81.639885,0.72,0.62,0.49
WG-00116,Bhavani,West Godavari,Tanuku,Paddy,1.35,79.3,Low,90,16.814094,81.694978,0.89,0.85,0.54
WG-00117,Srinivasa Rao,West Godavari,Undi,Paddy,11.09,80.1,Low,95,16.636161,81.547407,0.89,0.79,0.59
WG-00118,Lakshmi Devi,West Godavari,Veeravasaram,Cotton,1.92,63.2,Medium,86,16.612405,81.644398,0.85,0.73,0.53
WG-00119,Venkata Ramana,West Godavari,Ganapavaram,Red Gram,4.89,76.7,Low,94,16.756654,81.466261,0.92,0.85,0.57
WG-00120,Sailaja,West Godavari,Kalla,Paddy,6.45,78.2,Low,89,16.574277,81.420182,0.83,0.81,0.54
WG-00121,Srinivasa Rao,West Godavari,Achanta,Cotton,9.37,60.0,Medium,88,16.538047,81.792373,0.75,0.67,0.46
WG-00122,Lakshmi Devi,West Godavari,Akiveedu,Paddy,9.67,77.3,Low,94,16.673048,81.493928,0.83,0.8,0.54
WG-00123,Venkata Ramana,West Godavari,Attili,Red Gram,3.29,60.3,Medium,84,16.596103,81.599772,0.84,0.81,0.52
WG-00124,Sailaja,West Godavari,Bhimavaram,Paddy,11.85,83.4,Low,97,16.40641,81.569391,0.91,0.81,0.55
WG-00125,Ramesh Babu,West Godavari,Elamanchili,Chilli,4.94,59.0,High,83,16.81107,81.507825,0.7,0.66,0.54
WG-00126,Padma Priya,West Godavari,Iragavaram,Cotton,8.66,63.0,Medium,87,16.726299,81.757738,0.71,0.59,0.49
WG-00127,Kiran Kumar,West Godavari,Mogalthur,Red Gram,5.97,77.5,Low,91,16.397607,81.574368,0.89,0.82,0.59
WG-00128,Anitha,West Godavari,Narasapuram,Paddy,8.98,69.5,Medium,92,16.389792,81.738753,0.85,0.82,0.58
WG-00129,Satyanarayana,West Godavari,Palacoderu,Maize,3.22,79.4,Low,90,16.592172,81.53148,0.91,0.85,0.56
WG-00130,Rajeshwari,West Godavari,Palacole,Cotton,6.85,63.4,Medium,88,16.578166,81.745586,0.83,0.75,0.54
WG-00131,Mohan Rao,West Godavari,Pentapadu,Chilli,5.46,62.3,Medium,87,16.78787,81.514598,0.81,0.7,0.55
WG-00132,Divya,West Godavari,Penugonda,Chilli,9.5,63.1,Medium,81,16.636028,81.752966,0.75,0.67,0.57
WG-00133,Prasad,West Godavari,Penumantra,Paddy,1.71,65.6,Medium,86,16.633904,81.620641,0.83,0.79,0.53
WG-00134,Swapna,West Godavari,Poduru,Paddy,8.03,65.3,Medium,88,16.570132,81.704588,0.8,0.72,0.55
WG-00135,Naresh,West Godavari,Tadepalligudem,Paddy,7.6,88.4,Low,94,16.917492,81.655778,0.92,0.85,0.57
WG-00136,Bhavani,West Godavari,Tanuku,Chilli,7.16,72.6,Medium,86,16.713391,81.680908,0.8,0.74,0.58
WG-00137,Srinivasa Rao,West Godavari,Undi,Paddy,6.15,79.9,Low,89,16.583502,81.51612,0.92,0.81,0.57
WG-00138,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,7.69,74.2,Medium,88,16.502469,81.668112,0.92,0.85,0.53
WG-00139,Venkata Ramana,West Godavari,Ganapavaram,Paddy,10.37,86.4,Low,93,16.722447,81.577366,0.91,0.85,0.61
WG-00140,Sailaja,West Godavari,Kalla,Paddy,6.76,81.8,Low,94,16.543453,81.443556,0.82,0.79,0.61
WG-00141,Srinivasa Rao,West Godavari,Achanta,Maize,6.45,76.6,Low,87,16.550065,81.808482,0.81,0.79,0.59
WG-00142,Lakshmi Devi,West Godavari,Akiveedu,Paddy,3.4,75.6,Low,94,16.657536,81.699562,0.81,0.71,0.62
WG-00143,Venkata Ramana,West Godavari,Attili,Cotton,3.7,76.3,Low,85,16.702085,81.646616,0.83,0.73,0.61
WG-00144,Sailaja,West Godavari,Bhimavaram,Paddy,4.93,67.8,Medium,89,16.480073,81.436749,0.77,0.72,0.56
WG-00145,Ramesh Babu,West Godavari,Elamanchili,Paddy,4.02,84.3,Low,96,16.621203,81.766024,0.88,0.77,0.6
WG-00146,Padma Priya,West Godavari,Iragavaram,Chilli,2.54,78.4,Low,93,16.71134,81.699456,0.83,0.71,0.6
WG-00147,Kiran Kumar,West Godavari,Mogalthur,Cotton,9.67,74.4,Medium,86,16.355212,81.531881,0.82,0.79,0.63
WG-00148,Anitha,West Godavari,Narasapuram,Paddy,6.98,71.3,Medium,92,16.346315,81.677956,0.88,0.85,0.59
WG-00149,Satyanarayana,West Godavari,Palacoderu,Paddy,6.08,87.0,Low,92,16.515972,81.59015,0.92,0.85,0.6
WG-00150,Rajeshwari,West Godavari,Palacole,Paddy,4.02,69.4,Medium,91,16.526615,81.671505,0.76,0.66,0.57
WG-00151,Mohan Rao,West Godavari,Pentapadu,Paddy,5.16,72.0,Medium,89,16.818541,81.489558,0.78,0.66,0.6
WG-00152,Divya,West Godavari,Penugonda,Paddy,5.39,79.0,Low,91,16.668652,81.741145,0.86,0.82,0.53
WG-00153,Prasad,West Godavari,Penumantra,Paddy,9.38,69.4,Medium,92,16.627214,81.675139,0.77,0.67,0.49
WG-00154,Swapna,West Godavari,Poduru,Cotton,3.01,79.3,Low,94,16.588988,81.685571,0.81,0.77,0.62
WG-00155,Naresh,West Godavari,Tadepalligudem,Paddy,6.82,82.0,Low,95,16.81402,81.503938,0.92,0.85,0.63
WG-00156,Bhavani,West Godavari,Tanuku,Paddy,9.75,65.3,Medium,86,16.703474,81.707348,0.78,0.69,0.55
WG-00157,Srinivasa Rao,West Godavari,Undi,Paddy,8.09,85.4,Low,89,16.596654,81.532536,0.86,0.74,0.57
WG-00158,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,10.74,65.3,Medium,81,16.566808,81.631158,0.86,0.78,0.5
WG-00159,Venkata Ramana,West Godavari,Ganapavaram,Paddy,9.58,71.3,Medium,87,16.708114,81.494012,0.86,0.75,0.58
WG-00160,Sailaja,West Godavari,Kalla,Paddy,11.15,71.3,Medium,84,16.575117,81.49556,0.85,0.8,0.55
WG-00161,Srinivasa Rao,West Godavari,Achanta,Chilli,9.93,71.3,Medium,84,16.632467,81.811607,0.8,0.72,0.53
WG-00162,Lakshmi Devi,West Godavari,Akiveedu,Paddy,3.85,75.8,Low,89,16.443998,81.680604,0.81,0.77,0.63
WG-00163,Venkata Ramana,West Godavari,Attili,Paddy,2.15,66.1,Medium,83,16.732203,81.56876,0.87,0.75,0.48
WG-00164,Sailaja,West Godavari,Bhimavaram,Paddy,10.95,83.7,Low,95,16.490772,81.473912,0.92,0.85,0.63
WG-00165,Ramesh Babu,West Godavari,Elamanchili,Red Gram,4.03,81.4,Low,88,16.844608,81.557931,0.92,0.85,0.6
WG-00166,Padma Priya,West Godavari,Iragavaram,Cotton,7.48,76.1,Low,90,16.65024,81.647565,0.92,0.85,0.59
WG-00167,Kiran Kumar,West Godavari,Mogalthur,Red Gram,6.07,61.0,Medium,80,16.399201,81.549935,0.75,0.64,0.46
WG-00168,Anitha,West Godavari,Narasapuram,Maize,3.18,64.6,Medium,87,16.462465,81.633313,0.78,0.67,0.52
WG-00169,Satyanarayana,West Godavari,Palacoderu,Paddy,3.53,77.0,Low,93,16.507803,81.611726,0.8,0.75,0.55
WG-00170,Rajeshwari,West Godavari,Palacole,Paddy,11.23,65.8,Medium,84,16.50485,81.638094,0.79,0.72,0.57
WG-00171,Mohan Rao,West Godavari,Pentapadu,Maize,5.44,68.9,Medium,88,16.726219,81.54542,0.84,0.75,0.53
WG-00172,Divya,West Godavari,Penugonda,Paddy,10.7,88.4,Low,98,16.655626,81.758821,0.9,0.85,0.65
WG-00173,Prasad,West Godavari,Penumantra,Paddy,2.01,71.7,Medium,87,16.625507,81.660739,0.86,0.82,0.51
WG-00174,Swapna,West Godavari,Poduru,Paddy,2.25,79.8,Low,87,16.61551,81.788376,0.83,0.77,0.62
WG-00175,Naresh,West Godavari,Tadepalligudem,Chilli,2.44,63.7,Medium,86,16.960703,81.589065,0.85,0.75,0.53
WG-00176,Bhavani,West Godavari,Tanuku,Paddy,1.7,64.9,Medium,88,16.752718,81.653818,0.73,0.62,0.48
WG-00177,Srinivasa Rao,West Godavari,Undi,Cotton,4.43,65.7,Medium,89,16.669856,81.503895,0.77,0.74,0.56
WG-00178,Lakshmi Devi,West Godavari,Veeravasaram,Chilli,3.26,66.8,Medium,90,16.52266,81.575559,0.87,0.77,0.59
WG-00179,Venkata Ramana,West Godavari,Ganapavaram,Paddy,2.11,83.2,Low,92,16.689607,81.494058,0.85,0.77,0.57
WG-00180,Sailaja,West Godavari,Kalla,Cotton,11.88,59.8,High,85,16.528251,81.47961,0.71,0.64,0.54
WG-00181,Srinivasa Rao,West Godavari,Achanta,Paddy,7.39,71.9,Medium,87,16.547499,81.846608,0.86,0.78,0.53
WG-00182,Lakshmi Devi,West Godavari,Akiveedu,Paddy,4.72,82.1,Low,91,16.808085,81.622932,0.82,0.76,0.58
WG-00183,Venkata Ramana,West Godavari,Attili,Paddy,4.04,66.1,Medium,90,16.744945,81.643392,0.83,0.71,0.55
WG-00184,Sailaja,West Godavari,Bhimavaram,Paddy,3.29,84.7,Low,90,16.478305,81.448863,0.92,0.82,0.66
WG-00185,Ramesh Babu,West Godavari,Elamanchili,Red Gram,11.71,70.9,Medium,83,16.622297,81.846682,0.88,0.81,0.53
WG-00186,Padma Priya,West Godavari,Iragavaram,Paddy,5.94,83.1,Low,91,16.640573,81.663685,0.92,0.83,0.58
WG-00187,Kiran Kumar,West Godavari,Mogalthur,Red Gram,3.91,67.4,Medium,83,16.416283,81.64048,0.81,0.73,0.53
WG-00188,Anitha,West Godavari,Narasapuram,Paddy,8.81,66.1,Medium,85,16.430645,81.664027,0.85,0.8,0.5
WG-00189,Satyanarayana,West Godavari,Palacoderu,Paddy,2.9,69.4,Medium,88,16.558328,81.518708,0.89,0.85,0.59
WG-00190,Rajeshwari,West Godavari,Palacole,Paddy,6.37,66.1,Medium,87,16.579537,81.73241,0.77,0.75,0.48
WG-00191,Mohan Rao,West Godavari,Pentapadu,Paddy,5.21,67.1,Medium,85,16.734672,81.458624,0.82,0.75,0.57
WG-00192,Divya,West Godavari,Penugonda,Maize,1.6,76.1,Low,93,16.653823,81.779339,0.8,0.74,0.58
WG-00193,Prasad,West Godavari,Penumantra,Red Gram,0.83,62.3,Medium,84,16.683509,81.728943,0.81,0.71,0.48
WG-00194,Swapna,West Godavari,Poduru,Paddy,0.86,66.7,Medium,84,16.565817,81.815223,0.73,0.62,0.51
WG-00195,Naresh,West Godavari,Tadepalligudem,Paddy,6.73,65.7,Medium,87,16.899617,81.505683,0.79,0.76,0.55
WG-00196,Bhavani,West Godavari,Tanuku,Paddy,5.19,75.3,Low,89,16.735217,81.641232,0.89,0.79,0.57
WG-00197,Srinivasa Rao,West Godavari,Undi,Red Gram,2.4,79.7,Low,92,16.645641,81.437665,0.92,0.85,0.63
WG-00198,Lakshmi Devi,West Godavari,Veeravasaram,Cotton,7.85,75.5,Low,94,16.578885,81.588912,0.8,0.71,0.61
WG-00199,Venkata Ramana,West Godavari,Ganapavaram,Paddy,7.76,87.8,Low,91,16.658666,81.532513,0.92,0.85,0.57
WG-00200,Sailaja,West Godavari,Kalla,Paddy,4.78,67.5,Medium,86,16.458021,81.392959,0.86,0.77,0.5
WG-00201,Srinivasa Rao,West Godavari,Achanta,Red Gram,1.6,65.9,Medium,87,16.578334,81.800709,0.88,0.78,0.48
WG-00202,Lakshmi Devi,West Godavari,Akiveedu,Paddy,8.55,70.3,Medium,85,16.919273,81.529502,0.78,0.7,0.53
WG-00203,Venkata Ramana,West Godavari,Attili,Cotton,3.21,64.3,Medium,82,16.592079,81.619671,0.82,0.72,0.51
WG-00204,Sailaja,West Godavari,Bhimavaram,Paddy,9.9,68.4,Medium,84,16.44584,81.430408,0.78,0.7,0.51
WG-00205,Ramesh Babu,West Godavari,Elamanchili,Red Gram,1.4,77.1,Low,85,16.531046,81.410084,0.81,0.76,0.62
WG-00206,Padma Priya,West Godavari,Iragavaram,Paddy,7.42,77.1,Low,87,16.650507,81.640631,0.9,0.85,0.57
WG-00207,Kiran Kumar,West Godavari,Mogalthur,Cotton,8.31,71.6,Medium,84,16.436522,81.536301,0.84,0.78,0.53
WG-00208,Anitha,West Godavari,Narasapuram,Paddy,5.75,82.4,Low,92,16.411943,81.62896,0.89,0.85,0.58
WG-00209,Satyanarayana,West Godavari,Palacoderu,Paddy,5.51,82.0,Low,88,16.564452,81.586791,0.84,0.74,0.54
